stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
VISFAISN,4234,Vista @ Fairview,N VISTA RD & E FAIRVIEW AV,47.68405,-117.29358,,,,,,0
BUCDALEF,4235,Buckeye @ Dale,E BUCKEYE AV & N DALE RD,47.682215,-117.286059,,,,,,0
MCKWASEF,4236,McKeehan Way @ Washington (Eagle Point),MIKE MCKEEHAN WY,47.503598,-117.58496,,,,,,0
MCKWASWN,4237,McKeehan Way @ Washington (Eagle Point),MIKE MCKEEHAN WY,47.50376,-117.585,,,,,,0
MCKSPOEN,4238,McKeehan Way @ Sports Complex,MIKE MCKEEHAN WY,47.503603,-117.580739,,,,,,0
MCK6THEN,4239,McKeehan Way @ 6th,MIKE MCKEEHAN WY & N 6TH ST,47.503529,-117.575695,,,,,,0
MCK6THWF,4240,McKeehan Way @ 6th,MIKE MCKEEHAN WY & N 6TH ST,47.50369,-117.575961,,,,,,0
MCKSPOWN,4241,McKeehan Way @ Sports Complex,MIKE MCKEEHAN WY & N 6TH ST,47.503765,-117.580673,,,,,,0
MANCHEEN,4268,Mansfield @ Cherry,E MANSFIELD AV & N CHERRY ST,47.677378,-117.238582,,,,,,0
MANRIVEF,4269,Mansfield @ River Rock Apts,E MANSFIELD AV & N CHERRY ST,47.677259,-117.23223,,,,,,0
MANDISEN,4270,Mansfield @ Discovery Place,E MANSFIELD AV & N DISCOVERY PL,47.677426,-117.225131,,,,,,0
MANDISWF,4271,Mansfield @ Discovery Place,E MANSFIELD AV & N DISCOVERY PL,47.677588,-117.225251,,,,,,0
MANRIVWF,4272,Mansfield @ River Rock Apts,E MANSFIELD AV & N DISCOVERY PL,47.677394,-117.232483,,,,,,0
MANCHEWN,4273,Mansfield @ Cherry,E MANSFIELD AV & N CHERRY ST,47.677557,-117.238262,,,,,,0
PINMAINN,4274,Pine @ Main,N PINE ST & E MAIN AV,47.658959,-117.409055,,,,,,0
PINMANSN,4275,Pine @ Main,N PINE ST & E MAIN AV,47.659175,-117.409308,,,,,,0
RIVBROWF,4276,Riverside @ Browne,W RIVERSIDE AV & N BROWNE ST,47.658051,-117.413542,,,,,,0
UNIBRONN,4277,University @ Broadway,N UNIVERSITY RD & E BROADWAY AV,47.664256,-117.261279,,,,,,0
BROPIEEN,4278,Broadway @ Pierce,E BROADWAY AV & N PIERCE RD,47.664302,-117.255966,,,,,,0
BROBOWEN,4279,Broadway @ Bowdish,E BROADWAY AV & N BOWDISH RD,47.664321,-117.25064,,,,,,0
BROPEREN,4280,Broadway @ Perrine,E BROADWAY AV & N PINES RD,47.66432,-117.244582,,,,,,0
BROPINEN,4281,Broadway @ Pines,E BROADWAY AV & N PINES RD,47.664321,-117.239882,,,,,,0
BROVEREN,4282,Broadway @ Vercler,E BROADWAY AV & N VERCLER RD,47.664321,-117.234397,,,,,,0
BROMCDEN,4283,Broadway @ McDonald,E BROADWAY AV & N MCDONALD RD,47.664311,-117.229098,,,,,,0
BROBLAEN,4284,Broadway @ Blake,E BROADWAY AV & N MCCABE RD,47.664302,-117.223692,,,,,,0
BROEVEEN,4285,Broadway @ Evergreen,E BROADWAY AV & N EVERGREEN RD,47.664292,-117.218273,,,,,,0
BROBESEN,4286,Broadway @ Best,E BROADWAY AV & N BEST RD,47.664282,-117.212921,,,,,,0
BROADAEN,4287,Broadway @ Adams,E BROADWAY AV & N BEST RD,47.664271,-117.207529,,,,,,0
BROPROEF,4288,Broadway @ Progress,E BROADWAY AV & N PROGRESS RD,47.66426,-117.202097,,,,,,0
BROSULEN,4289,Broadway @ Sullivan,E BROADWAY AV & N BEST RD,47.664249,-117.196731,,,,,,0
BROMOOEF,4290,Broadway @ Moore,E BROADWAY AV & N MOORE RD,47.66423,-117.191632,,,,,,0
BROCONEF,4291,Broadway @ Conklin,E BROADWAY AV & N CONKLIN RD,47.664208,-117.18576,,,,,,0
BROFLOEN,4292,Broadway @ Flora,E BROADWAY AV & N FLORA RD,47.664168,-117.175509,,,,,,0
MISRIVWF,4293,Mission @ Riverhouse,E MISSION PK & N INDIANA PK,47.671537,-117.17695,,,,,,0
INDDESWF,4294,Indiana @ Desmet Ct,E INDIANA AV & N INDIANA PK,47.668985,-117.182236,,,,,,0
INDWALT,4295,Indiana @ River View Center,E INDIANA AV & N INDIANA PK,47.668466,-117.187311,,,,,,0
IND15915,4296,Indiana @ 15915 E Indiana,E INDIANA AV & N INDIANA PK,47.669419,-117.191568,,,,,,0
IND15812,4297,Indiana @ 15812 E Indiana,E INDIANA AV & E SPRINGFIELD AV,47.669338,-117.191582,,,,,,0
IND16114,4298,Indiana @ 16114 E Indiana,E INDIANA AV & E SPRINGFIELD AV,47.66853,-117.187964,,,,,,0
INDDESEN,4299,Indiana @ Desmet Ct,E INDIANA AV & E SPRINGFIELD AV,47.668931,-117.182143,,,,,,0
INDBELEN,4300,Indiana @ Bella Tess,N INDIANA PK & E SPRINGFIELD AV,47.671142,-117.177125,,,,,,0
FLOMISSF,4301,Flora @ Mission,N FLORA RD & E MAXWELL AV,47.670876,-117.175156,,,,,,0
BROFLOWF,4302,Broadway @ Flora,E BROADWAY AV & N STEEN LN,47.66424,-117.175522,,,,,,0
BROCONWF,4303,Broadway @ Conklin,E BROADWAY AV & N CONKLIN RD,47.66429,-117.186306,,,,,,0
BROMOOWF,4304,Broadway @ Moore,E BROADWAY AV & Parking Lot,47.664312,-117.192151,,,,,,0
BROSULWN,4305,Broadway @ Sullivan,E BROADWAY AV & N SULLIVAN RD,47.664321,-117.196451,,,,,,0
BROPROWN,4306,Broadway @ Progress,E BROADWAY AV & N PROGRESS RD,47.664332,-117.201857,,,,,,0
BROADAWN,4307,Broadway @ Adams,E BROADWAY AV & N ADAMS RD,47.664342,-117.207249,,,,,,0
BROBESWN,4308,Broadway @ Best,E BROADWAY AV & N BEST RD,47.664353,-117.212615,,,,,,0
BROEVEWF,4309,Broadway @ Evergreen,E BROADWAY AV & N EVERGREEN RD,47.664364,-117.218406,,,,,,0
BROBLAWN,4310,Broadway @ Blake,E BROADWAY AV & N MAMER RD,47.664382,-117.223386,,,,,,0
BROMCDWF,4311,Broadway @ McDonald,E BROADWAY AV & N WOODLAWN RD,47.664411,-117.229271,,,,,,0
BROVERWN,4312,Broadway @ Vercler,E BROADWAY AV & N VERCLER RD,47.664392,-117.234197,,,,,,0
BROPINWN,4313,Broadway @ Pines,E BROADWAY AV & N PINES RD,47.664402,-117.239616,,,,,,0
BROPERWN,4314,Broadway @ Perrine,E BROADWAY AV & N WILBUR RD,47.664391,-117.244276,,,,,,0
BROBWDWN,4315,Broadway @ Bowdish,E BROADWAY AV & N BATES RD,47.664392,-117.25044,,,,,,0
BROPIEWN,4316,Broadway @ Pierce,E BROADWAY AV & N PIERCE RD,47.664383,-117.255753,,,,,,0
UNIBROSF,4317,University @ Broadway,N UNIVERSITY RD & E BROADWAY AV,47.663986,-117.261386,,,,,,0
DAKJAYNF,4319,Dakota @ Jay,N DAKOTA ST & Parking Lot,47.741915,-117.400657,,,,,,0
HWYSTC,4324,Hwy 2 @ Spokane Tribe Casino,W US 2 HY & Parking Lot,47.64304,-117.610199,,,,,,0
WPTC,4326,West Plains Transit Center,WEST PLAINS TRANSIT CENTER,47.589956,-117.565028,,,,,,0
SIM1STWF,4327,Simpson @ 1st,SIMPSON PKWY & 1ST ST,47.503999,-117.565913,,,,,,0
SIMALOWN,4328,Simpson @ Al Ogdon Way,SIMPSON PKWY & 1ST ST,47.503707,-117.569457,,,,,,0
WAS7THNF,4329,Washington @ 7th,WASHINGTON ST & W 7TH ST,47.486714,-117.586278,,,,,,0
SIMALOEN,4330,Simpson @ Al Ogdon Way,SIMPSON PKWY & ELM ST,47.503635,-117.569921,,,,,,0
SIM1STEN,4331,Simpson @ 1st,SIMPSON PKWY & 1ST ST,47.503928,-117.56505,,,,,,0
ELMPUBWF,4332,Elm @ PUB,ELM ST & N 9TH ST,47.492871,-117.582806,,,,,,0
UDBRIDGE,4334,UD Ped Bridge,E RIVERSIDE AV & N FOULOIS AV,47.658085,-117.403411,,,,,,0
LVSURBK,4338,Leave Surbeck,Parking Lot,47.494718,-117.586912,,,,,,0
SHE2NDNN,4339,Sherman @ 2nd,S SHERMAN ST & E 2ND AV,47.654514,-117.403586,,,,,,0
SHE2NDSN,4340,Sherman @ 2nd,S SHERMAN ST & E 2ND AV,47.654712,-117.403693,,,,,,0
